assignment_id,course,type,title,due_date,estimated_hours,submitted
ASGN0001,Data Structures & Algorithms,Homework,Data Structures & Algorithms - Homework 2,2025-01-24,3.7,1
ASGN0002,Data Structures & Algorithms,Homework,Data Structures & Algorithms - Homework 3,2025-01-31,4.1,1
ASGN0003,Data Structures & Algorithms,Homework,Data Structures & Algorithms - Homework 4,2025-02-07,2.1,1
ASGN0004,Data Structures & Algorithms,Homework,Data Structures & Algorithms - Homework 5,2025-02-14,2.7,1
ASGN0005,Data Structures & Algorithms,Homework,Data Structures & Algorithms - Homework 6,2025-02-21,2.9,1
ASGN0006,Data Structures & Algorithms,Homework,Data Structures & Algorithms - Homework 8,2025-03-07,2.2,1
ASGN0007,Data Structures & Algorithms,Homework,Data Structures & Algorithms - Homework 10,2025-03-21,2.7,1
ASGN0008,Data Structures & Algorithms,Homework,Data Structures & Algorithms - Homework 11,2025-03-28,2.3,1
ASGN0009,Data Structures & Algorithms,Homework,Data Structures & Algorithms - Homework 12,2025-04-04,2.8,1
ASGN0010,Data Structures & Algorithms,Quiz,Data Structures & Algorithms - Quiz 2,2025-01-24,2.0,1
ASGN0011,Data Structures & Algorithms,Quiz,Data Structures & Algorithms - Quiz 4,2025-02-07,1.5,1
ASGN0012,Data Structures & Algorithms,Quiz,Data Structures & Algorithms - Quiz 6,2025-02-21,1.6,1
ASGN0013,Data Structures & Algorithms,Quiz,Data Structures & Algorithms - Quiz 8,2025-03-07,1.3,1
ASGN0014,Data Structures & Algorithms,Quiz,Data Structures & Algorithms - Quiz 10,2025-03-21,1.4,1
ASGN0015,Data Structures & Algorithms,Quiz,Data Structures & Algorithms - Quiz 12,2025-04-04,2.4,1
ASGN0016,Data Structures & Algorithms,Project,Data Structures & Algorithms - Project 5,2025-02-14,15.8,1
ASGN0017,Data Structures & Algorithms,Project,Data Structures & Algorithms - Project 9,2025-03-14,15.3,1
ASGN0018,Data Structures & Algorithms,Project,Data Structures & Algorithms - Project 13,2025-04-11,10.1,1
ASGN0019,Data Structures & Algorithms,Midterm,Data Structures & Algorithms - Midterm 7,2025-02-28,8.6,1
ASGN0020,Data Structures & Algorithms,Final Exam,Data Structures & Algorithms - Final Exam 15,2025-04-25,9.1,1
ASGN0021,Operating Systems,Homework,Operating Systems - Homework 2,2025-01-24,3.1,1
ASGN0022,Operating Systems,Homework,Operating Systems - Homework 3,2025-01-31,5.0,1
ASGN0023,Operating Systems,Homework,Operating Systems - Homework 4,2025-02-07,3.9,1
ASGN0024,Operating Systems,Homework,Operating Systems - Homework 5,2025-02-14,3.7,1
ASGN0025,Operating Systems,Homework,Operating Systems - Homework 6,2025-02-21,4.1,1
ASGN0026,Operating Systems,Homework,Operating Systems - Homework 8,2025-03-07,4.5,1
ASGN0027,Operating Systems,Homework,Operating Systems - Homework 10,2025-03-21,4.3,1
ASGN0028,Operating Systems,Homework,Operating Systems - Homework 11,2025-03-28,2.7,1
ASGN0029,Operating Systems,Homework,Operating Systems - Homework 12,2025-04-04,2.1,1
ASGN0030,Operating Systems,Quiz,Operating Systems - Quiz 2,2025-01-24,1.5,1
ASGN0031,Operating Systems,Quiz,Operating Systems - Quiz 4,2025-02-07,1.4,1
ASGN0032,Operating Systems,Quiz,Operating Systems - Quiz 6,2025-02-21,1.3,1
ASGN0033,Operating Systems,Quiz,Operating Systems - Quiz 8,2025-03-07,2.4,1
ASGN0034,Operating Systems,Quiz,Operating Systems - Quiz 10,2025-03-21,2.3,1
ASGN0035,Operating Systems,Quiz,Operating Systems - Quiz 12,2025-04-04,1.5,1
ASGN0036,Operating Systems,Project,Operating Systems - Project 5,2025-02-14,15.9,1
ASGN0037,Operating Systems,Project,Operating Systems - Project 9,2025-03-14,12.7,1
ASGN0038,Operating Systems,Project,Operating Systems - Project 13,2025-04-11,19.0,1
