event_id,event_type,title,date,start_time,duration_minutes
EVT0001,class,Data Structures & Algorithms,2025-01-13,10:00,75
EVT0002,class,Data Networks & Security,2025-01-13,10:00,75
EVT0003,club,ACM Student Chapter,2025-01-13,17:00,60
EVT0004,class,Operating Systems,2025-01-14,13:00,75
EVT0005,class,Affective Computing,2025-01-14,13:00,75
EVT0006,class,Data Structures & Algorithms,2025-01-15,10:00,75
EVT0007,class,Data Networks & Security,2025-01-15,10:00,75
EVT0008,class,Database Systems,2025-01-15,10:00,75
EVT0009,class,Operating Systems,2025-01-16,13:00,75
EVT0010,class,Affective Computing,2025-01-16,13:00,75
EVT0011,office_hours,Data Networks & Security,2025-01-16,15:00,30
EVT0012,class,Database Systems,2025-01-17,10:00,75
EVT0013,class,Data Structures & Algorithms,2025-01-20,10:00,75
EVT0014,class,Data Networks & Security,2025-01-20,10:00,75
EVT0015,class,Operating Systems,2025-01-21,13:00,75
EVT0016,class,Affective Computing,2025-01-21,13:00,75
EVT0017,office_hours,Operating Systems,2025-01-21,15:00,30
EVT0018,class,Data Structures & Algorithms,2025-01-22,10:00,75
EVT0019,class,Data Networks & Security,2025-01-22,10:00,75
EVT0020,class,Database Systems,2025-01-22,10:00,75
EVT0021,class,Operating Systems,2025-01-23,13:00,75
EVT0022,class,Affective Computing,2025-01-23,13:00,75
EVT0023,class,Database Systems,2025-01-24,10:00,75
EVT0024,class,Data Structures & Algorithms,2025-01-27,10:00,75
EVT0025,class,Data Networks & Security,2025-01-27,10:00,75
EVT0026,club,ACM Student Chapter,2025-01-27,17:00,60
EVT0027,class,Operating Systems,2025-01-28,13:00,75
EVT0028,class,Affective Computing,2025-01-28,13:00,75
EVT0029,class,Data Structures & Algorithms,2025-01-29,10:00,75
EVT0030,class,Data Networks & Security,2025-01-29,10:00,75
EVT0031,class,Database Systems,2025-01-29,10:00,75
EVT0032,class,Operating Systems,2025-01-30,13:00,75
EVT0033,class,Affective Computing,2025-01-30,13:00,75
EVT0034,class,Database Systems,2025-01-31,10:00,75
EVT0035,class,Data Structures & Algorithms,2025-02-03,10:00,75
EVT0036,class,Data Networks & Security,2025-02-03,10:00,75
EVT0037,class,Operating Systems,2025-02-04,13:00,75
EVT0038,class,Affective Computing,2025-02-04,13:00,75
EVT0039,office_hours,Affective Computing,2025-02-04,15:00,30
EVT0040,class,Data Structures & Algorithms,2025-02-05,10:00,75
EVT0041,class,Data Networks & Security,2025-02-05,10:00,75
EVT0042,class,Database Systems,2025-02-05,10:00,75
EVT0043,class,Operating Systems,2025-02-06,13:00,75
EVT0044,class,Affective Computing,2025-02-06,13:00,75
EVT0045,office_hours,Data Structures & Algorithms,2025-02-06,15:00,30
EVT0046,class,Database Systems,2025-02-07,10:00,75
EVT0047,class,Data Structures & Algorithms,2025-02-10,10:00,75
EVT0048,class,Data Networks & Security,2025-02-10,10:00,75
EVT0049,club,ACM Student Chapter,2025-02-10,17:00,60
EVT0050,class,Operating Systems,2025-02-11,13:00,75
EVT0051,class,Affective Computing,2025-02-11,13:00,75
EVT0052,office_hours,Database Systems,2025-02-11,15:00,30
EVT0053,class,Data Structures & Algorithms,2025-02-12,10:00,75
EVT0054,class,Data Networks & Security,2025-02-12,10:00,75
EVT0055,class,Database Systems,2025-02-12,10:00,75
EVT0056,class,Operating Systems,2025-02-13,13:00,75
EVT0057,class,Affective Computing,2025-02-13,13:00,75
EVT0058,class,Database Systems,2025-02-14,10:00,75
EVT0059,class,Data Structures & Algorithms,2025-02-17,10:00,75
EVT0060,class,Data Networks & Security,2025-02-17,10:00,75
EVT0061,class,Operating Systems,2025-02-18,13:00,75
EVT0062,class,Affective Computing,2025-02-18,13:00,75
EVT0063,class,Data Structures & Algorithms,2025-02-19,10:00,75
EVT0064,class,Data Networks & Security,2025-02-19,10:00,75
